Neutral Citation,Instrument,Statue,Year,Detail,Instrument Link,Instrument ID,Statue ID
2019_IECA_255,Employment Permits Act,Employment Permits Act,,,,16407,54019
2019_IECA_255,Irish Nationality and Citizenship Act 1956,Irish Nationality and Citizenship Act,1956,,,23650,3489
2019_IEHC_952,Criminal Law (Jurisdiction) Act 1976,Criminal Law Act,1976,Jurisdiction,,23994,29070
2019_IEHC_952,European Arrest Warrant Act,European Arrest Warrant Act,,,,7740,984
2020_IECA_135,British Nationality Act,British Nationality Act,,,,33450,11525
2020_IECA_135,Criminal Justice (Public Order) Act,Criminal Justice Act,,Public Order,,47692,64073
2020_IECA_135,Criminal Justice (Spent Convictions and Certain Disclosures) Act,Criminal Justice Act,,Spent Convictions and Certain Disclosures,,53421,64073
2020_IECA_135,Immigration Act,Immigration Act,,,,29072,38538
2020_IECA_135,Irish Nationality and Citizenship Act,Irish Nationality and Citizenship Act,,,,34950,3489
2020_IECA_135,Road Traffic Act 1961,Road Traffic Act,1961,,https://www.irishstatutebook.ie/1961/en/si/0173.html?q=Road+Traffic+Act&years=1961,18004,26943
2020_IECA_141,ECHR Act 2003,ECHR Act,2003,,,27628,49762
2020_IECA_141,Human Rights Act 2003,Human Rights Act,2003,,https://www.irishstatutebook.ie/2003/en/si/0483.html?q=Human+Rights+Act&years=2003,29332,57385
2020_IECA_141,United Kingdom Human Rights Act 1998,United Kingdom Human Rights Act,1998,,,59835,20833
2020_IECA_159,Criminal Justice (International Co-Operation) Act,Criminal Justice Act,,International Co-Operation,,50315,64073
2020_IECA_159,Criminal Law Act 1971,Criminal Law Act,1971,,,11265,29070
2020_IECA_159,European Arrest Warrant Act,European Arrest Warrant Act,,,,7740,984
2020_IECA_159,Immigration Act 1971,Immigration Act,1971,,,56651,38538
2020_IECA_184,Immigration Act 1999,Immigration Act,1999,,,62928,38538
2020_IECA_184,International Protection Act 2015,International Protection Act,2015,,https://www.irishstatutebook.ie/2015/en/act/pub/0066/index.html?q=International+Protection+Act&years=2015,28527,20390
2020_IECA_184,Refugee Act 1996,Refugee Act,1996,,,8338,38594
2020_IECA_241,Family Law (Divorce) Act,Family Law Act,,Divorce,,62981,40334
2020_IECA_241,Family Law Act,Family Law Act,,,,22755,40334
2020_IECA_241,Refugee Act 1996,Refugee Act,1996,,,8338,38594
2020_IECA_246,ECHR Act 2003,ECHR Act,2003,,,27628,49762
2020_IECA_246,Human Rights Act 2003,Human Rights Act,2003,,https://www.irishstatutebook.ie/2003/en/si/0483.html?q=Human+Rights+Act&years=2003,29332,57385
2020_IECA_246,Immigration Act 2004,Immigration Act,2004,,,7189,38538
2020_IECA_246,International Protection Act 2015,International Protection Act,2015,,https://www.irishstatutebook.ie/2015/en/act/pub/0066/index.html?q=International+Protection+Act&years=2015,28527,20390
2020_IECA_310,Electoral (Amendment) Act 2014,Electoral Act,2014,Amendment,,43301,33278
2020_IECA_310,Legal Services Regulation Act 2015,Legal Services Regulation Act,2015,,,31429,24489
2020_IECA_337,Electoral (Amendment) Act 2014,Electoral Act,2014,Amendment,,43301,33278
2020_IECA_337,Legal Services Regulation Act 2015,Legal Services Regulation Act,2015,,,31429,24489
2020_IECA_341,Criminal Law (Jurisdiction) Act,Criminal Law Act,,Jurisdiction,,62708,29070
2020_IECA_341,European Arrest Warrant Act 2003,European Arrest Warrant Act,2003,,,15140,984
2020_IECA_341,Offences Against the State Act,Offences Against the State Act,,,,53774,39324
2020_IECA_343,Legal Services Regulation Act 2015,Legal Services Regulation Act,2015,,,31429,24489
2020_IEHC_171,Immigration Act 2003,Immigration Act,2003,,,65126,38538
2020_IEHC_171,Immigration Act 2004,Immigration Act,2004,,,7189,38538
2020_IEHC_299,Criminal Justice Act,Criminal Justice Act,,,,22099,64073
