Neutral Citation,Instrument,Statue,Year,Detail,Instrument Link,Instrument ID,Statue ID
2019_IEHC_950,European Convention,European Convention,,,,47442,45665
2019_IEHC_952,European Convention,European Convention,,,,47442,45665
2020_IECA_141,European Convention,European Convention,,,,47442,45665
2020_IECA_184,Geneva Convention,Geneva Convention,,,,35524,52109
2020_IECA_241,European Convention,European Convention,,,,47442,45665
2020_IECA_246,European Convention,European Convention,,,,47442,45665
2020_IECA_341,European Convention,European Convention,,,,47442,45665
2020_IECA_359,European Convention,European Convention,,,,47442,45665
2020_IEHC_270,European Convention,European Convention,,,,47442,45665
2020_IEHC_285,European Convention,European Convention,,,,47442,45665
2020_IEHC_316,European Convention,European Convention,,,,47442,45665
2020_IEHC_344,European Convention,European Convention,,,,47442,45665
2020_IEHC_350,European Convention,European Convention,,,,47442,45665
2020_IEHC_357,European Convention,European Convention,,,,47442,45665
2020_IEHC_358,European Convention,European Convention,,,,47442,45665
2020_IEHC_389,European Convention,European Convention,,,,47442,45665
2020_IEHC_395,European Convention,European Convention,,,,47442,45665
2020_IEHC_396,European Convention,European Convention,,,,47442,45665
2020_IEHC_401,European Convention,European Convention,,,,47442,45665
2020_IEHC_415,European Convention,European Convention,,,,47442,45665
2020_IEHC_416,European Convention,European Convention,,,,47442,45665
2020_IEHC_417,European Convention,European Convention,,,,47442,45665
2020_IEHC_515,European Convention,European Convention,,,,47442,45665
2020_IEHC_517,European Convention,European Convention,,,,47442,45665
2020_IEHC_519,European Convention,European Convention,,,,47442,45665
2020_IEHC_526,European Convention,European Convention,,,,47442,45665
2020_IEHC_528,European Convention,European Convention,,,,47442,45665
2020_IEHC_531,European Convention,European Convention,,,,47442,45665
2020_IEHC_532,European Convention,European Convention,,,,47442,45665
2020_IEHC_561,European Convention,European Convention,,,,47442,45665
2020_IEHC_571,European Convention,European Convention,,,,47442,45665
2020_IEHC_573,European Convention,European Convention,,,,47442,45665
2020_IEHC_598,European Convention,European Convention,,,,47442,45665
2020_IEHC_606,European Convention,European Convention,,,,47442,45665
2020_IEHC_607,European Convention,European Convention,,,,47442,45665
2020_IEHC_648,Geneva Convention,Geneva Convention,,,,35524,52109
2020_IEHC_657,European Convention,European Convention,,,,47442,45665
2020_IEHC_690,European Convention,European Convention,,,,47442,45665
2020_IEHC_692,European Convention,European Convention,,,,47442,45665
2020_IEHC_695,European Convention,European Convention,,,,47442,45665
2020_IEHC_699,European Convention,European Convention,,,,47442,45665
2020_IESC_30,European Convention,European Convention,,,,47442,45665
2020_IESC_30,Geneva Convention,Geneva Convention,,,,35524,52109
2020_IESC_30,United Nations Convention,United Nations Convention,,,,51156,21434
2020_IESC_48,European Convention,European Convention,,,,47442,45665
2020_IESC_62,Refugee Convention 1951,Refugee Convention,1951,,,51168,10409
2020_IESC_62,United Nations Convention,United Nations Convention,,,,51156,21434
2020_IESC_63,European Convention,European Convention,,,,47442,45665
