Neutral Citation,Instrument,Statue,Year,Detail,Instrument Link,Instrument ID,Statue ID
2020_IECA_184,Citizenship Directive,Citizenship Directive,,,,28654,14862
2020_IECA_184,Council Directive 2004/83,Council Directive,2004,2004/83,,62569,49908
2020_IECA_184,Council Directive 2005/85,Council Directive,2005,2005/85,,35192,49908
2020_IECA_184,Qualification Directive,Qualification Directive,,,,32437,4062
2020_IECA_241,Family Reunification Directive,Family Reunification Directive,,,,1251,54352
2020_IEHC_179,Citizens Rights Directive,Citizens Rights Directive,,,,20103,63953
2020_IEHC_333,Citizens Rights Directive 2004,Citizens Rights Directive,2004,,,9109,63953
2020_IEHC_344,European Directive,European Directive,,,,16565,56618
2020_IEHC_402,Asylum Procedures Directive,Asylum Procedures Directive,,,,33767,43978
2020_IESC_27,Citizens Directive,Citizens Directive,,,,61498,37529
2020_IESC_30,Citizens Directive,Citizens Directive,,,,61498,37529
2020_IESC_30,Council Directive 2004/83,Council Directive,2004,2004/83,,62569,49908
2020_IESC_30,Family Reunification Directive,Family Reunification Directive,,,,1251,54352
2020_IESC_30,Qualification Directive,Qualification Directive,,,,32437,4062
2020_IESC_48,Council Directive 2004/38,Council Directive,2004,2004/38,,12599,49908
2020_IESC_62,Council Directive 2004/83,Council Directive,2004,2004/83,,62569,49908
2020_IESC_62,Council Directive 2005/85,Council Directive,2005,2005/85,,35192,49908
2020_IESC_62,Qualification Directive,Qualification Directive,,,,32437,4062
2020_IESC_73,Citizens Directive,Citizens Directive,,,,61498,37529
2020_IESC_78,Citizens Directive,Citizens Directive,,,,61498,37529
2021_IECA_1,Citizens Rights Directive,Citizens Rights Directive,,,,20103,63953
2021_IECA_106,Council Directive 2004/83,Council Directive,2004,2004/83,,62569,49908
2021_IECA_106,Qualification Directive,Qualification Directive,,,,32437,4062
2021_IECA_119,Council Directive 2005/85,Council Directive,2005,2005/85,,35192,49908
2021_IECA_16,Citizens Rights Directive,Citizens Rights Directive,,,,20103,63953
2021_IECA_259,Council Directive 85/337,Council Directive,,85/337,,32387,49908
2021_IECA_259,EIA Directive,EIA Directive,,,,48231,45172
2021_IECA_259,Environmental Impact Assessment Directive,Environmental Impact Assessment Directive,,,,14834,53386
2021_IECA_259,Habitats Directive,Habitats Directive,,,,14663,11278
2021_IECA_259,Industrial Emissions Directive,Industrial Emissions Directive,,,,23434,1828
2021_IECA_259,Justice Council Directive 85/337/EEC,Justice Council Directive,,85/337/EEC,,51151,19923
2021_IECA_259,Public Participation Directive 1985,Public Participation Directive,1985,,,32099,25756
2021_IECA_259,Public Participation Directive 2003,Public Participation Directive,2003,,,64188,25756
2021_IECA_259,SEA Directive,SEA Directive,,,,42069,52884
2021_IECA_259,Strategic Environmental Assessment Directive,Strategic Environmental Assessment Directive,,,,30126,3195
2021_IECA_298,Citizens Rights Directive,Citizens Rights Directive,,,,20103,63953
2021_IECA_314,SEA Directive,SEA Directive,,,,42069,52884
2021_IECA_314,Strategic Environmental Assessment Directive,Strategic Environmental Assessment Directive,,,,30126,3195
2021_IECA_317,EIA Directive,EIA Directive,,,,48231,45172
2021_IECA_317,Habitats Directive,Habitats Directive,,,,14663,11278
2021_IECA_317,Habitats Directive,Habitats Directive,,,,14663,11278
2021_IECA_317,SEA Directive,SEA Directive,,,,42069,52884
2021_IECA_339,Citizens Directive,Citizens Directive,,,,61498,37529
2021_IECA_339,Citizenship Directive,Citizenship Directive,,,,28654,14862
2021_IECA_345,Habitats Directive,Habitats Directive,,,,14663,11278
2021_IEHC_17,Citizens Rights Directive 2004,Citizens Rights Directive,2004,,,9109,63953
2021_IEHC_583,EIA Directive,EIA Directive,,,,48231,45172
2021_IEHC_583,Environmental Impact Assessment Directive,Environmental Impact Assessment Directive,,,,14834,53386
2021_IEHC_583,Habitats Directive,Habitats Directive,,,,14663,11278
2021_IEHC_583,Habitats Directive 92/43/EEC,Habitats Directive,,92/43/EEC,,44425,11278
2021_IEHC_593,EIA Directive 2011,EIA Directive,2011,,,37943,45172
2021_IEHC_597,EIA Directive,EIA Directive,,,,48231,45172
2021_IEHC_597,EIA Directive 2011,EIA Directive,2011,,,37943,45172
2021_IEHC_597,Environmental Impact Assessment Directive,Environmental Impact Assessment Directive,,,,14834,53386
2021_IEHC_597,Water Framework Directive,Water Framework Directive,,,,57919,41509
2021_IEHC_610,EIA Directive 2011,EIA Directive,2011,,,37943,45172
2021_IEHC_620,European Directive,European Directive,,,,16565,56618
2021_IEHC_629,EIA Directive,EIA Directive,,,,48231,45172
2021_IEHC_629,EIA Directive 2011,EIA Directive,2011,,,37943,45172
2021_IEHC_629,EIA Directive 2014 ,EIA Directive,2014,,,18677,45172
2021_IEHC_648,EIA Directive 2011,EIA Directive,2011,,,37943,45172
2021_IEHC_648,Habitats Directive,Habitats Directive,,,,14663,11278
2021_IEHC_666,Environmental Impact Assessment Directive,Environmental Impact Assessment Directive,,,,14834,53386
2021_IEHC_666,Environmental Impact Assessment Directive 2011/92,Environmental Impact Assessment Directive,2011,2011/92,,41143,53386
2021_IEHC_666,Habitats Directive,Habitats Directive,,,,14663,11278
2021_IEHC_666,Habitats Directive 43/92/EEC,Habitats Directive,,43/92/EEC,,27975,11278
2021_IEHC_733,Council Directive 85/337,Council Directive,,85/337,,32387,49908
2021_IEHC_733,EIA Directive 2011,EIA Directive,2011,,,37943,45172
2021_IEHC_733,SEA Directive 2001/42,SEA Directive,2001,2001/42,,52801,52884
2021_IEHC_748,Reception Conditions Directive,Reception Conditions Directive,,,,11126,39190
2021_IEHC_777,Council Directive 85/337,Council Directive,,85/337,,32387,49908
2021_IEHC_777,EIA Directive,EIA Directive,,,,48231,45172
2021_IEHC_777,Water Framework Directive,Water Framework Directive,,,,57919,41509
2021_IEHC_806,Reception Conditions Directive,Reception Conditions Directive,,,,11126,39190
2021_IEHC_806,Reception Conditions Directive,Reception Conditions Directive,,,,11126,39190
2021_IEHC_834,EU Birds Directive,EU Birds Directive,,,,11032,8196
2021_IEHC_834,Habitats Directive,Habitats Directive,,,,14663,11278
2021_IESC_32,Citizenship Directive,Citizenship Directive,,,,28654,14862
2021_IESC_32,Council Directive 2004/83,Council Directive,2004,2004/83,,62569,49908
2021_IESC_79,EIA Directive,EIA Directive,,,,48231,45172
2021_IESC_79,Environmental Impact Assessment Directive 2011/92,Environmental Impact Assessment Directive,2011,2011/92,,41143,53386
2021_IESC_79,Habitats Directive,Habitats Directive,,,,14663,11278
2021_IESC_79,Habitats Directive 92/43/EEC,Habitats Directive,,92/43/EEC,,44425,11278
2021_IESC_79,Water Framework Directive 2006/60,Water Framework Directive,2006,2006/60,,47050,41509
2021_IESC_83,EIA Directive,EIA Directive,,,,48231,45172
2021_IESC_83,Environmental Impact Assessment Directive 2011/92,Environmental Impact Assessment Directive,2011,2011/92,,41143,53386
2021_IESC_83,Habitats Directive 92/43/EEC,Habitats Directive,,92/43/EEC,,44425,11278
2021_IESC_83,Water Framework Directive 2006/60,Water Framework Directive,2006,2006/60,,47050,41509
2022_IECA_100,EIA Directive,EIA Directive,,,,48231,45172
2022_IECA_100,Habitats Directive,Habitats Directive,,,,14663,11278
2022_IECA_123,EIA Directive,EIA Directive,,,,48231,45172
2022_IECA_126,EIA Directive,EIA Directive,,,,48231,45172
2022_IECA_126,European Directive,European Directive,,,,16565,56618
2022_IECA_126,Habitats Directive,Habitats Directive,,,,14663,11278
2022_IECA_131,Remedies Directive,Remedies Directive,,,,63046,3616
2022_IECA_6,Birds Directive,Birds Directive,,,,29433,59896
2022_IECA_6,EIA Directive,EIA Directive,,,,48231,45172
2022_IECA_6,Habitats Directive,Habitats Directive,,,,14663,11278
2022_IECA_8,European Directive,European Directive,,,,16565,56618
2022_IECA_89,Citizens Rights Directive 2004,Citizens Rights Directive,2004,,,9109,63953
2022_IEHC_1,Habitats Directive,Habitats Directive,,,,14663,11278
2022_IEHC_11,EIA Directive,EIA Directive,,,,48231,45172
2022_IEHC_11,Habitats Directive,Habitats Directive,,,,14663,11278
2022_IEHC_112,Habitats Directive,Habitats Directive,,,,14663,11278
2022_IEHC_116,EIA Directive 2011,EIA Directive,2011,,,37943,45172
2022_IEHC_116,Public Participation Directive 2003,Public Participation Directive,2003,,,64188,25756
2022_IEHC_116,Water Framework Directive 2006/60,Water Framework Directive,2006,2006/60,,47050,41509
2022_IEHC_117,Birds Directive,Birds Directive,,,,29433,59896
2022_IEHC_117,EIA Directive,EIA Directive,,,,48231,45172
2022_IEHC_117,Habitats Directive,Habitats Directive,,,,14663,11278
2022_IEHC_146,EIA Directive,EIA Directive,,,,48231,45172
2022_IEHC_146,Habitats Directive,Habitats Directive,,,,14663,11278
2022_IEHC_147,Habitats Directive,Habitats Directive,,,,14663,11278
2022_IEHC_148,Birds Directive,Birds Directive,,,,29433,59896
2022_IEHC_148,EIA Directive,EIA Directive,,,,48231,45172
2022_IEHC_148,Environmental Impact Assessment Directive,Environmental Impact Assessment Directive,,,,14834,53386
2022_IEHC_148,EU Birds Directive,EU Birds Directive,,,,11032,8196
2022_IEHC_148,Habitats Directive,Habitats Directive,,,,14663,11278
2022_IEHC_148,Industrial Emissions Directive,Industrial Emissions Directive,,,,23434,1828
2022_IEHC_149,European Directive,European Directive,,,,16565,56618
2022_IEHC_155,Qualification Directive 2011/95,Qualification Directive,2011,2011/95,,51035,4062
2022_IEHC_168,Consumer Contracts Directive,Consumer Contracts Directive,,,,19683,11627
2022_IEHC_18,Habitats Directive,Habitats Directive,,,,14663,11278
2022_IEHC_18,Habitats Directive 92/43/EEC,Habitats Directive,,92/43/EEC,,44425,11278
2022_IEHC_2,EIA Directive 2014 ,EIA Directive,2014,,,18677,45172
2022_IEHC_2,Habitats Directive,Habitats Directive,,,,14663,11278
2022_IEHC_201,Council Directive 85/337,Council Directive,,85/337,,32387,49908
2022_IEHC_201,EIA Directive,EIA Directive,,,,48231,45172
2022_IEHC_201,Habitats Directive,Habitats Directive,,,,14663,11278
2022_IEHC_201,SEA Directive,SEA Directive,,,,42069,52884
2022_IEHC_202,Council Directive 85/337,Council Directive,,85/337,,32387,49908
2022_IEHC_202,EIA Directive,EIA Directive,,,,48231,45172
2022_IEHC_202,Habitats Directive,Habitats Directive,,,,14663,11278
2022_IEHC_202,Strategic Environmental Assessment Directive,Strategic Environmental Assessment Directive,,,,30126,3195
2022_IEHC_220,EIA Directive,EIA Directive,,,,48231,45172
2022_IEHC_220,Habitats Directive,Habitats Directive,,,,14663,11278
2022_IEHC_221,Remedies Directive,Remedies Directive,,,,63046,3616
2022_IEHC_23,Habitats Directive,Habitats Directive,,,,14663,11278
2022_IEHC_238,EIA Directive,EIA Directive,,,,48231,45172
2022_IEHC_238,Habitats Directive,Habitats Directive,,,,14663,11278
2022_IEHC_238,Public Participation Directive,Public Participation Directive,,,,65184,25756
2022_IEHC_243,Council Directive 2004/38,Council Directive,2004,2004/38,,12599,49908
2022_IEHC_249,EIA Directive 1985,EIA Directive,1985,,,28129,45172
2022_IEHC_249,EIA Directive 2011,EIA Directive,2011,,,37943,45172
2022_IEHC_249,Habitats Directive,Habitats Directive,,,,14663,11278
2022_IEHC_249,IPPC Directive,IPPC Directive,,,,29986,10962
2022_IEHC_249,IPPC Directive,IPPC Directive,,,,29986,10962
2022_IEHC_249,Public Participation Directive 2003,Public Participation Directive,2003,,,64188,25756
2022_IEHC_249,SEA Directive,SEA Directive,,,,42069,52884
2022_IEHC_25,EIA Directive,EIA Directive,,,,48231,45172
2022_IEHC_25,IPPC Directive,IPPC Directive,,,,29986,10962
2022_IEHC_256,EIA Directive,EIA Directive,,,,48231,45172
2022_IEHC_256,Habitats Directive,Habitats Directive,,,,14663,11278
2022_IEHC_257,Birds Directive,Birds Directive,,,,29433,59896
2022_IEHC_257,Habitats Directive,Habitats Directive,,,,14663,11278
2022_IEHC_258,Citizens Directive,Citizens Directive,,,,61498,37529
2022_IEHC_258,Council Directive 2004/38,Council Directive,2004,2004/38,,12599,49908
2022_IEHC_264,European Directive,European Directive,,,,16565,56618
2022_IEHC_278,Citizens Rights Directive 2004,Citizens Rights Directive,2004,,,9109,63953
2022_IEHC_280,Qualification Directive 2011/95,Qualification Directive,2011,2011/95,,51035,4062
2022_IEHC_281,SEA directive 2001/42,SEA directive,2001,2001/42,,29621,49356
2022_IEHC_284,Citizens Directive,Citizens Directive,,,,61498,37529
2022_IEHC_29,EIA Directive,EIA Directive,,,,48231,45172
2022_IEHC_29,Habitats Directive,Habitats Directive,,,,14663,11278
2022_IEHC_329,Habitats Directive,Habitats Directive,,,,14663,11278
2022_IEHC_339,Citizens Directive,Citizens Directive,,,,61498,37529
2022_IEHC_345,Qualification Directive,Qualification Directive,,,,32437,4062
2022_IEHC_349,EIA Directive,EIA Directive,,,,48231,45172
2022_IEHC_372,Water Framework Directive,Water Framework Directive,,,,57919,41509
2022_IEHC_378,Citizens Directive,Citizens Directive,,,,61498,37529
2022_IEHC_395,SEA Directive,SEA Directive,,,,42069,52884
2022_IEHC_395,Strategic Environmental Assessment Directive,Strategic Environmental Assessment Directive,,,,30126,3195
2022_IEHC_44,EIA Directive,EIA Directive,,,,48231,45172
2022_IEHC_44,Environmental Impact Assessment Directive 2011/92,Environmental Impact Assessment Directive,2011,2011/92,,41143,53386
2022_IEHC_44,European Directive,European Directive,,,,16565,56618
2022_IEHC_44,Habitats Directive,Habitats Directive,,,,14663,11278
2022_IEHC_44,Habitats Directive 92/43/EEC,Habitats Directive,,92/43/EEC,,44425,11278
2022_IEHC_440,Asylum Procedures Directive,Asylum Procedures Directive,,,,33767,43978
2022_IEHC_441,Reception Conditions Directive,Reception Conditions Directive,,,,11126,39190
2022_IEHC_54,Remedies Directive,Remedies Directive,,,,63046,3616
2022_IEHC_6,Council Directive 85/337,Council Directive,,85/337,,32387,49908
2022_IEHC_6,EIA Directive,EIA Directive,,,,48231,45172
2022_IEHC_6,Habitats Directive,Habitats Directive,,,,14663,11278
2022_IEHC_6,Justice Council Directive 85/337/EEC,Justice Council Directive,,85/337/EEC,,51151,19923
2022_IEHC_71,Asylum Procedures Directive,Asylum Procedures Directive,,,,33767,43978
2022_IEHC_87,Asylum Procedures Directive,Asylum Procedures Directive,,,,33767,43978
2022_IEHC_87,Qualification Directive 2004/83,Qualification Directive,2004,2004/83,,38841,4062
2022_IEHC_96,EIA Directive,EIA Directive,,,,48231,45172
2022_IEHC_96,Environmental Impact Assessment Directive,Environmental Impact Assessment Directive,,,,14834,53386
2022_IEHC_98,Citizens Directive,Citizens Directive,,,,61498,37529
2022_IESC_25,Qualification Directive 2004/83,Qualification Directive,2004,2004/83,,38841,4062
2022_IESC_4,EIA Directive,EIA Directive,,,,48231,45172
2022_IESC_4,Qualification Directive,Qualification Directive,,,,32437,4062
2022_IESC_8,EIA Directive,EIA Directive,,,,48231,45172
2022_IESC_8,Environmental Impact Assessment Directive 2011/92,Environmental Impact Assessment Directive,2011,2011/92,,41143,53386
2022_IESC_8,Habitats Directive,Habitats Directive,,,,14663,11278
2022_IESC_8,Habitats Directive 92/43/EEC,Habitats Directive,,92/43/EEC,,44425,11278
2022_IESC_8,Water Framework Directive 2006/60,Water Framework Directive,2006,2006/60,,47050,41509
