Neutral Citation,Instrument,Statue,Year,Detail,Instrument Link,Instrument ID,Statue ID
2019_IEHC_950,Bangalore Principles of Judicial Conduct 2002,Bangalore Principles of Judicial Conduct,2002,,,33926,26631
2020_IECA_135,Constitution 1937,Constitution,1937,,https://www.irishstatutebook.ie/1937/en/si/0320.html?q=Constitution&years=1937,19351,2159
2020_IECA_159,Council Framework Decision 2002/584,Council Framework Decision,2002,2002/584,,47903,41583
2020_IECA_159,Council Framework Decision 2009/299/JHA,Council Framework Decision,2009,2009/299/JHA,,63874,41583
2020_IECA_246,Constitution,Constitution,,,,8988,2159
2020_IEHC_270,Constitution,Constitution,,,,8988,2159
2020_IEHC_269,Council Framework Decision 2009/299/JHA,Council Framework Decision,2009,2009/299/JHA,,63874,41583
2020_IEHC_331,Council Framework Decision 2002/584,Council Framework Decision,2002,2002/584,,47903,41583
2020_IEHC_331,Council Framework Decision 2009/299/JHA,Council Framework Decision,2009,2009/299/JHA,,63874,41583
2020_IEHC_344,Council Framework Decision 2002/584,Council Framework Decision,2002,2002/584,,47903,41583
2020_IEHC_344,Lithuanian Criminal Code,Lithuanian Criminal Code,,,,46098,49501
2020_IEHC_357,Criminal Code,Criminal Code,,,,18707,26220
2020_IEHC_358,Council Framework Decision 2002/584,Council Framework Decision,2002,2002/584,,47903,41583
2020_IEHC_389,Council Framework Decision 2002/584,Council Framework Decision,2002,2002/584,,47903,41583
2020_IEHC_389,Council Framework Decision 2009/299/JHA,Council Framework Decision,2009,2009/299/JHA,,63874,41583
2020_IEHC_401,EU Treaty,EU Treaty,,,,31995,22280
2020_IEHC_413,Criminal Code,Criminal Code,,,,18707,26220
2020_IEHC_415,Criminal Code,Criminal Code,,,,18707,26220
2020_IEHC_415,Lithuanian Criminal Code,Lithuanian Criminal Code,,,,46098,49501
2020_IEHC_416,Council Framework Decision 2002/584,Council Framework Decision,2002,2002/584,,47903,41583
2020_IEHC_416,Council Framework Decision 2009/299/JHA,Council Framework Decision,2009,2009/299/JHA,,63874,41583
2020_IEHC_515,Council Framework Decision 2009/299/JHA,Council Framework Decision,2009,2009/299/JHA,,63874,41583
2020_IEHC_517,Council Framework Decision 2002/584,Council Framework Decision,2002,2002/584,,47903,41583
2020_IEHC_519,Criminal Code,Criminal Code,,,,18707,26220
2020_IEHC_528,Constitution 1937,Constitution,1937,,https://www.irishstatutebook.ie/1937/en/si/0320.html?q=Constitution&years=1937,19351,2159
