,Neutral Citation,Citation,Citation ID
0,2021_IECA_282,2013_IESC_6,12671
1,2021_IECA_282,2015_IECA_27,25282
2,2021_IECA_282,2016_IECA_235,54628
4,2021_IECA_282,2019_IECA_327,51315
5,2021_IECA_282,2012_IESC_25,56354
6,2021_IECA_282,2017_IECA_217,53177
7,2021_IECA_282,2005_IEHC_43,52130
8,2021_IECA_282,2013_IEHC_157,8766
9,2021_IECA_282,2008_IEHC_3,52779
10,2021_IECA_282,2019_IESC_65,55665
11,2021_IECA_282,2021_IECA_38,35901
12,2021_IECA_282,2005_IEHC_309,57288
13,2021_IECA_282,2012_IESC_49,41818
14,2021_IECA_282,2009_IEHC_45,20620
15,2021_IECA_282,2011_IESC_14,50337
16,2021_IECA_282,2011_IEHC_505,46785
34,2021_IECA_283,2020_IESC_10,21093
35,2021_IECA_283,2021_IECA_101,25800
38,2021_IECA_285,2018_IEHC_294,15082
40,2021_IECA_286,2019_IEHC_837,20081
41,2021_IECA_286,2016_IEHC_600,61595
42,2021_IECA_286,2007_IEHC_234,7544
49,2021_IECA_287,2010_IESC_27,9092
50,2021_IECA_287,2015_IECA_74,44142
51,2021_IECA_287,2020_IESC_67,57426
52,2021_IECA_287,2005_IEHC_147,14380
53,2021_IECA_287,2011_IEHC_11,65314
54,2021_IECA_287,2012_IESC_50,3869
55,2021_IECA_287,2010_IEHC_387,16018
56,2021_IECA_287,2010_ECHR_1272,48145
57,2021_IECA_287,2015_IESC_32,45124
67,2021_IECA_290,2020_IEHC_110,51344
68,2021_IECA_290,2013_IEHC_579,423
69,2021_IECA_290,2009_IEHC_368,64479
70,2021_IECA_290,2010_IEHC_231,26130
71,2021_IECA_290,2008_IEHC_322,1756
72,2021_IECA_290,2013_IESC_16,45153
73,2021_IECA_290,2020_IEHC_224,8722
74,2021_IECA_290,2016_IESC_9,54324
83,2021_IECA_291,2018_IEHC_654,25340
85,2021_IECA_292,2013_IEHC_453,43432
86,2021_IECA_292,2015_IESC_27,55300
89,2021_IECA_295,2011_IEHC_321,27153
90,2021_IECA_295,2017_IESC_50,45003
91,2021_IECA_295,2011_IESC_36,40694
92,2021_IECA_295,2012_IESC_64,28488
97,2021_IECA_296,2020_IESC_48,35605
98,2021_IECA_296,2012_IESC_39,17065
99,2021_IECA_296,2017_IEHC_677,46383
100,2021_IECA_296,2017_IEHC_490,18214
101,2021_IECA_296,2017_IEHC_613,48416
102,2021_IECA_296,2020_IESC_46,61379
103,2021_IECA_296,2015_IESC_103,23819
104,2021_IECA_296,2013_IESC_49,29269
105,2021_IECA_296,2004_IESC_38,18003
106,2021_IECA_296,2019_IECA_346,30694
107,2021_IECA_296,2021_IECA_5,15069
108,2021_IECA_296,2021_IECA_242,3628
109,2021_IECA_296,2021_IECA_293,22075
110,2021_IECA_296,2009_IEHC_457,7293
111,2021_IECA_296,2020_IECA_183,23385
127,2021_IECA_297,2018_IEHC_790,64712
128,2021_IECA_297,2015_IEHC_153,15971
129,2021_IECA_297,2005_IEHC_189,38090
130,2021_IECA_297,2020_IESC_10,21093
135,2021_IECA_298,2012_IESC_26,50148
