Neutral Citation,Judge,Court,Link,Judge ID
2021_IECA_282,Whelan J.,Court of Appeal,https://en.wikipedia.org//wiki/M%C3%A1ire_Whelan,49920
2021_IECA_282,Noonan J.,Court of Appeal,https://en.wikipedia.org//wiki/Seamus_Noonan,23253
2021_IECA_282,Pilkington J.,Court of Appeal,https://en.wikipedia.org//wiki/Teresa_Pilkington,57053
2021_IECA_283,Donnelly J.,Court of Appeal,https://en.wikipedia.org//wiki/Aileen_Donnelly,43866
2021_IECA_283,Ni Raifeartaigh J.,Court of Appeal,https://en.wikipedia.org/wiki/%C3%9Ana_N%C3%AD_Raifeartaigh,53073
2021_IECA_283,Binchy J.,Court of Appeal,https://en.wikipedia.org//wiki/Donald_Binchy,58114
2021_IECA_285,Donnelly J.,Court of Appeal,https://en.wikipedia.org//wiki/Aileen_Donnelly,43866
2021_IECA_285,Ni Raifeartaigh J.,Court of Appeal,https://en.wikipedia.org/wiki/%C3%9Ana_N%C3%AD_Raifeartaigh,53073
2021_IECA_285,Binchy J.,Court of Appeal,https://en.wikipedia.org//wiki/Donald_Binchy,58114
2021_IECA_286,Donnelly J.,Court of Appeal,https://en.wikipedia.org//wiki/Aileen_Donnelly,43866
2021_IECA_286,Noonan J.,Court of Appeal,https://en.wikipedia.org//wiki/Seamus_Noonan,23253
2021_IECA_286,Binchy J.,Court of Appeal,https://en.wikipedia.org//wiki/Donald_Binchy,58114
2021_IECA_287,Costello J.,Court of Appeal,https://en.wikipedia.org//wiki/Caroline_Costello,41498
2021_IECA_287,Donnelly J.,Court of Appeal,https://en.wikipedia.org//wiki/Aileen_Donnelly,43866
2021_IECA_287,Noonan J.,Court of Appeal,https://en.wikipedia.org//wiki/Seamus_Noonan,23253
2021_IECA_290,Birmingham P.,Supreme Court,https://en.wikipedia.org//wiki/George_Birmingham,14013
2021_IECA_290,Birmingham P.,Court of Appeal,https://en.wikipedia.org//wiki/George_Birmingham,14013
2021_IECA_290,McCarthy J.,Court of Appeal,https://en.wikipedia.org//wiki/Patrick_McCarthy_(judge),51049
2021_IECA_290,Kennedy J.,Court of Appeal,https://en.wikipedia.org//wiki/Isobel_Kennedy,12485
2021_IECA_291,Woulfe J.,Supreme Court,https://en.wikipedia.org//wiki/S%C3%A9amus_Woulfe,59252
2021_IECA_291,Whelan J.,Court of Appeal,https://en.wikipedia.org//wiki/M%C3%A1ire_Whelan,49920
2021_IECA_291,Pilkington J.,Court of Appeal,https://en.wikipedia.org//wiki/Teresa_Pilkington,57053
2021_IECA_292,Noonan J.,Court of Appeal,https://en.wikipedia.org//wiki/Seamus_Noonan,23253
