CITATION,INSTRUMENT,Neutral Citation
"['2020/233 CA] IN', '[2014] IESC 66', '[2020] IEHC 132']","['AMENDMENT) ACT 1980', '1980 Act']",2021_IEHC_694
"['[2021] IECA 273', '[2013] 1 IR 227', '[2021] IESC 12', '[2021] IECA 130', '[2021] IECA 203', '[2010] IESC 29', '[2013] IESC 28']","['Local Government Act', 'Harbours Act']",2021_IECA_274
"['31 RICHMOND AVENUE FAIRVIEW DUBLIN 3  DEFENDANTS  JUDGMENT of Ms. Justice Máire Whelan', '2021 Introduction 1', '(1843) 3 Hare 100', '[1948] N.I. 187', '[2013] UKSC 46', '[2014] A.C. 160', '[1975] A.C. 581', '[2002] 2 A.C. 1', '[2021] IESC 12', '[2002] 2 I.R. 593', '[2018] IEHC 201', '[2000] 4 I.R. 412', '[2014] IESC 57', '[2011] IEHC 117', '[2011] 3 I.R. 615', '(No.2)', '[1992] 3 N.Z.L.R. 757', '[1986] A.C. 965']","['Central Bank Act 1971', 'Legal Services Regulation Act 2015', 'Irish Judicature Act']",2021_IECA_258
"['(1857) 7 El. &', '119 E.R. 1329', '[2021] IESCDET 17', '[1936] I.R. 326', '[1939] I.R. 21', '[1969] I.R. 24', '[1940] I.R. 335', '[1954] I.R. 295', '[1951] I.R. 172', '[2008] IECCA 103', '[2008] 3 I.R. 202', '[1970] I.R. 61', '[1928] I.R. 460', '[1935] I.R. 615', '[1937] I.R. 386', '[1988] I.R. 470', '[1997] 2 I.L.R.M. 481', '[1986] I.R. 203', '[1979] I.R. 136', '[1980] I.L.R.M. 167', '[2016] IESC 58', '[2016] 1 I.R. 742', '[1980] I.R. 381', '[2017] 3 I.R. 751', '[1999] 4 I.R. 26', '[2013] IESC 21', '[2013] 3 I.R. 718', '(1879) 43 J.P. 20', '[1995] 2 I.R. 230', '[2013] IEHC 172', '[2013] 3 I.R. 287', '[2015] IEHC 461', '[2015] 1 I.R. 315', '15 U.S. (2 Wheat.)', '86 U.S. (19 Wall.)', '[1994] 1 I.R. 101', '[1919] 2 I.R. 143', '(1948) 7(2)', '(1888) 22 L.R. Ir.', '[2016] IESC 34', '[2016] 3 I.R. 1', '[2018] IESC 61', '[2019] 1 I.L.R.M. 149', '[2007] IEHC 450']","['District Court Rules', 'Rules  Section 59', 'Dublin Police Act 1842', '1842 Act', 'Courts of Justice Act 1924', '1924 Act', 'Courts (Supplemental Provisions) Act 1961', '1961 Act', '1926 Rules', '1948 Rules', 'Act of 1924', 'Petty Sessions (Ireland) Act 1851', '1851 Act', ') Act 1986', 'Desertion) Act 1886', 'Sea Fisheries Protection Act 1933', '1933 Act', 'Circuit Court Rules', 'Crown Suits Act of 1855', '1855 Act', 'Crown Suits Act 1855', 'Indictable Offences (Ireland) Act 1849', '1962 Rules', 'Summary Jurisdiction Act', 'Superior Courts 1962', '1857 Act', 'Customs and Inland Revenue Act 1879', 'Housing Act 1966', 'Deasy’s Act 1860', '1948 District Court Rules', 'Environment (Miscellaneous Provisions) Act 2011', '2011 Act', '1922 Constitution', 'Act of 1961', 'Acts of 1924', 'Superior Courts 1986', 'Legal Services Regulation Act 2015', 'Act of 1842', 'Statute Book for 1924', 'Ministers and Secretaries Act', 'Central Fund Act', 'Civil Service Regulation Act', 'Garda Síochána Act', 'Criminal Justice (Evidence) Act', 'Public Safety (Powers of Arrest and Detention) Temporary Act', 'Public Safety (Punishment of Offences) Temporary Act', 'Indemnity Act', 'Petty Sessions Ireland Act 1851', 'Adaptation of Enactments Act of 1922', 'Petty Sessions Ireland Act', 'Constitution of 1922', 'Procedure (Ireland) Act 1887', 'Crimes Act', 'New Rules', 'Courts of Justice Act 1936', 'Rules.', 'Irish Constitution', 'Industrial Training] Act', 'Irish Free State Constitution of 1922', 'District Court Rules 1997']",2021_IESC_66
"['(1890) 15 P.D. 170', '[1950] IR 180', '[1980] IR 223', '[1964] IR 166', '[1924] 2 IR 157', '[1902] P 205', '[2018] IEHC 726', '[2005] EWCA Civ 1808', '[2019] EWHC 4055).', '[2011] EWHC 2907', '[2019] EWHC 4055 Ch)', '(2013) 1(1)', '(2013))', '[1940] 74 ILTR 161']","['Succession Act', '1965 Act']",2021_IEHC_657
"['[2019] IECA 260', '[2019] IECA 133']","['Misuse of Drugs Act 1977', '1977 Act']",2021_IECA_281
"['[2020 No.', '[2013] 1 I.R. 470']","['European Arrest Warrant Act', 'Act of 2003', 'European Council Framework Decision', 'Framework Decision', 'Criminal Justice (Theft and Fraud Offences) Act', 'Road Traffic Act', 'Act of 2003 11', 'Act of 2003 13', 'Criminal Code', 'Act of 2003 23', 'Council Framework Decision 2009/299/JHA', 'Act of 2003 30', 'European Convention', 'Constitution.']",2021_IEHC_698
"['[2020 No.', '[2021] IEHC 424', '[2021] 7 JIC 0201', '[2006] IEHC 102', '[2007] 4 I.R. 112', '[2016] IEHC 646', '[2016] 11 JIC 1404', '[2019] IEHC 820', '[2019] 12 JIC 0502', '[2020] IEHC 218', '[2020] 5 JIC 1501', '[2020] IEHC 429', '[2020] 8 JIC 3101', '[2021] IEHC 594', '[2021] 9 JIC 3003', '[2015] IEHC 484', '[2015] 7 JIC 2107', '[2021] IEHC 265']","['Planning and Development Act 2000', '2014 EIA', 'Regulations 2011']",2021_IEHC_636
"['[2015] 4 IR 535', '[2012] 3 IR 222', '[2019] IECA 81', '[2011] IEHC 380', '[2018] IEHC 134', '[2021] IECA 5', '[2006] IEHC 371', '[2012] IESC 39', '[2015] IESC 103', '[2015] 4 IR 53', '[2016] IESC 45', '[2019] IECA 346']","['Immigration Act 1999', 'Persons) Regulation 2015', '2015 Regulations', 'EU Treaty', 'EU Free Movement Directive 24/38']",2021_IECA_242
[],['Criminal Law (Rape)(Amendment) Act 1990'],2021_IECA_243
