Neutral Citation,Instrument
2019_IECA_255,Employment Permits Act
2019_IECA_255,Irish Nationality and Citizenship Act 1956
2019_IEHC_950,Bangalore Principles of Judicial Conduct 2002
2019_IEHC_950,European Convention
2019_IEHC_952,Criminal Law (Jurisdiction) Act 1976
2019_IEHC_952,European Arrest Warrant Act
2019_IEHC_952,European Convention
2020_IECA_135,British Nationality Act
2020_IECA_135,Constitution 1937
2020_IECA_135,Criminal Justice (Public Order) Act
2020_IECA_135,Criminal Justice (Spent Convictions and Certain Disclosures) Act
2020_IECA_135,Immigration Act
2020_IECA_135,Irish Nationality and Citizenship Act
2020_IECA_135,Road Traffic Act 1961
2020_IECA_141,ECHR Act 2003
2020_IECA_141,European Convention
2020_IECA_141,Human Rights Act 2003
2020_IECA_141,United Kingdom Human Rights Act 1998
2020_IECA_159,Council Framework Decision 2002/584
2020_IECA_159,Council Framework Decision 2009/299/JHA
2020_IECA_159,Criminal Justice (International Co-Operation) Act
2020_IECA_159,Criminal Law Act 1971
2020_IECA_159,European Arrest Warrant Act
2020_IECA_159,Immigration Act 1971
2020_IECA_159,Legal Aid (Custody Issues Scheme)
2020_IECA_184,Citizenship Directive
2020_IECA_184,Council Directive 2004/83
2020_IECA_184,Council Directive 2005/85
2020_IECA_184,European Communities (Asylum Procedures) Regulations 2011
2020_IECA_184,European Communities (Eligibility for Protection) Regulations 2006
2020_IECA_184,European Union (Subsidiary Protection) Regulations 2013
2020_IECA_184,Geneva Convention
2020_IECA_184,Immigration Act 1999
2020_IECA_184,International Protection Act 2015
2020_IECA_184,Qualification Directive
2020_IECA_184,Refugee Act 1996
2020_IECA_241,European Convention
2020_IECA_241,Family Law (Divorce) Act
2020_IECA_241,Family Law Act
2020_IECA_241,Family Reunification Directive
2020_IECA_241,Refugee Act 1996
2020_IECA_246,Constitution
2020_IECA_246,ECHR Act 2003
2020_IECA_246,European Convention
2020_IECA_246,Human Rights Act 2003
2020_IECA_246,Immigration Act 2004
2020_IECA_246,International Protection Act 2015
2020_IECA_310,Electoral (Amendment) Act 2014
2020_IECA_310,Legal Services Regulation Act 2015
2020_IECA_337,Electoral (Amendment) Act 2014
2020_IECA_337,Legal Services Regulation Act 2015
2020_IECA_341,Criminal Law (Jurisdiction) Act
2020_IECA_341,European Arrest Warrant Act 2003
2020_IECA_341,European Convention
2020_IECA_341,Offences Against the State Act
2020_IECA_343,European Communities (Free Movement of Persons) Regulations 2015
2020_IECA_343,Legal Services Regulation Act 2015
2020_IECA_359,European Convention
2020_IEHC_171,Immigration Act 2003
2020_IEHC_171,Immigration Act 2004
2020_IEHC_179,Citizens Rights Directive
2020_IEHC_270,Constitution
2020_IEHC_269,Council Framework Decision 2009/299/JHA
2020_IEHC_299,Criminal Justice Act
2020_IEHC_299,Criminal Law Act
2020_IEHC_299,Criminal Law Act 1977
2020_IEHC_202,European Arrest Warrant Act
2020_IEHC_269,European Arrest Warrant Act 2003
2020_IEHC_270,European Arrest Warrant Act 2003
2020_IEHC_285,European Arrest Warrant Act 2003
2020_IEHC_299,European Arrest Warrant Act 2003
2020_IEHC_310,European Arrest Warrant Act 2003
2020_IEHC_316,European Arrest Warrant Act 2003
2020_IEHC_318,European Arrest Warrant Act 2003
2020_IEHC_270,European Convention
2020_IEHC_285,European Convention
2020_IEHC_316,European Convention
2020_IEHC_299,Illegal Immigrants (Trafficking) Act
2020_IEHC_299,Immigration Act 1971
2020_IEHC_283,Immigration Act 1999
2020_IEHC_304,Immigration Act 1999
2020_IEHC_283,Immigration Act 2003
2020_IEHC_304,International Protection Act 2015
2020_IEHC_299,Offences Against the Person Act 1861
2020_IEHC_299,Sea Fisheries and Maritime Jurisdiction Act
2020_IEHC_331,Council Framework Decision 2002/584
2020_IEHC_331,Council Framework Decision 2009/299/JHA
2020_IEHC_331,Criminal Justice (Theft and Fraud Offences) Act
2020_IEHC_331,European Arrest Warrant Act 2003
2020_IEHC_333,Citizens Rights Directive 2004
2020_IEHC_333,European Communities (Free Movement of Persons) Regulations 2015
2020_IEHC_333,Immigration Act 1999
2020_IEHC_344,Council Framework Decision 2002/584
2020_IEHC_344,Criminal Justice (Miscellaneous Provisions) Act
2020_IEHC_344,Criminal Justice (Terrorist Offences) Act 2005
2020_IEHC_344,European Arrest Warrant Act 2003
2020_IEHC_344,European Convention
2020_IEHC_344,European Directive
2020_IEHC_344,Firearms Act
2020_IEHC_344,Lithuanian Criminal Code
2020_IEHC_350,European Arrest Warrant Act 2003
2020_IEHC_350,European Convention
2020_IEHC_357,Criminal Code
2020_IEHC_357,Criminal Justice (Theft and Fraud Offences) Act
2020_IEHC_357,European Arrest Warrant Act 2003
2020_IEHC_357,European Convention
2020_IEHC_357,Extradition Act
2020_IEHC_358,Council Framework Decision 2002/584
2020_IEHC_358,Criminal Damage Act
2020_IEHC_358,Criminal Justice (Theft and Fraud Offences) Act
2020_IEHC_358,European Arrest Warrant Act 2003
2020_IEHC_358,European Convention
2020_IEHC_360,European Communities (Free Movement of Persons) Regulations 2006
2020_IEHC_360,Immigration Act 1999
2020_IEHC_360,International Protection Act 2015
2020_IEHC_387,Criminal Justice (Theft and Fraud Offences) Act
2020_IEHC_387,European Arrest Warrant Act 2003
2020_IEHC_389,Council Framework Decision 2002/584
2020_IEHC_389,Council Framework Decision 2009/299/JHA
2020_IEHC_389,European Arrest Warrant Act 2003
2020_IEHC_389,European Convention
2020_IEHC_395,Criminal Damage Act
2020_IEHC_395,European Arrest Warrant Act 2003
2020_IEHC_395,European Convention
2020_IEHC_396,European Arrest Warrant Act 2003
2020_IEHC_396,European Convention
2020_IEHC_401,EU Treaty
2020_IEHC_401,European Convention
2020_IEHC_401,Human Rights Act 2003
2020_IEHC_401,Illegal Immigrants (Trafficking) Act 2000
2020_IEHC_401,Immigration Act 1999
2020_IEHC_402,Asylum Procedures Directive
2020_IEHC_402,Civil Liability Act 1961
2020_IEHC_402,International Protection Act 2015
2020_IEHC_413,Criminal Code
2020_IEHC_413,Criminal Justice (Theft and Fraud Offences) Act 2001
2020_IEHC_415,Criminal Code
2020_IEHC_415,Criminal Damage Act
2020_IEHC_415,Criminal Justice (Public Order) Act
2020_IEHC_415,Criminal Justice (Theft and Fraud Offences) Act
2020_IEHC_415,European Arrest Warrant Act 2003
2020_IEHC_415,European Convention
2020_IEHC_415,Lithuanian Criminal Code
2020_IEHC_415,Road Traffic Act 2010
2020_IEHC_416,Council Framework Decision 2002/584
2020_IEHC_416,Council Framework Decision 2009/299/JHA
2020_IEHC_416,European Arrest Warrant Act 2003
2020_IEHC_416,European Convention
2020_IEHC_417,European Arrest Warrant Act 2003
2020_IEHC_417,European Convention
2020_IEHC_431,Dublin III Regulation
2020_IEHC_431,Employment Permits (Amendment) Act 2014
2020_IEHC_431,Illegal Immigrants (Trafficking) Act 2000
2020_IEHC_431,Immigration Act
2020_IEHC_433,Criminal Justice (Theft and Fraud Offences) Act
2020_IEHC_433,European Arrest Warrant Act 2003
2020_IEHC_436,Dublin III Regulation
2020_IEHC_436,Employment Permits (Amendment) Act 2014
2020_IEHC_436,Illegal Immigrants (Trafficking) Act 2000
2020_IEHC_436,Immigration Act
2020_IEHC_485,Illegal Immigrants (Trafficking) Act 2000
2020_IEHC_500,Criminal Law (Rape) (Amendment) Act 1990
2020_IEHC_513,Illegal Immigrants (Trafficking) Act 2000
2020_IEHC_515,Council Framework Decision 2009/299/JHA
2020_IEHC_515,European Arrest Warrant Act
2020_IEHC_515,European Convention
2020_IEHC_515,European Union (Consequential Provisions) Act
2020_IEHC_517,Council Framework Decision 2002/584
2020_IEHC_517,Criminal Justice (Theft and Fraud Offences) Act
2020_IEHC_517,European Arrest Warrant Act 2003
2020_IEHC_517,European Convention
2020_IEHC_519,Criminal Code
2020_IEHC_519,European Arrest Warrant Act 2003
2020_IEHC_519,European Convention
2020_IEHC_526,European Convention
2020_IEHC_526,Immigration Act 1999
2020_IEHC_528,Constitution 1937
2020_IEHC_528,Council Framework Decision 2009/299/JHA
2020_IEHC_528,Criminal Justice (Miscellaneous Provisions) Act 2009
2020_IEHC_528,Criminal Law (Amendment) Act 1935
2020_IEHC_528,Criminal Law (Extraterritorial Jurisdiction) Act
2020_IEHC_528,European Arrest Warrant Act 2003
2020_IEHC_528,European Convention
2020_IEHC_528,Interpretation Act 2005
2020_IEHC_528,Offences Against the Person Act 1861
2020_IEHC_531,Criminal Justice (Theft and Fraud Offences) Act
2020_IEHC_531,European Arrest Warrant Act 2003
2020_IEHC_531,European Convention
2020_IEHC_532,Criminal Justice (Public Order) Act
